run,checkpoint,suite,scenario,cmd_vx,cmd_vy,action_smoothness,avg_vx,avg_vy,base_height_mean,base_height_std,cost_of_transport,gait_symmetry,joint_velocity_mean,leg_workspace_utilization,mean_torque,orientation_rmse_deg,step_frequency,vel_coupling,vel_tracking_ratio,vx_tracking_rmse,vy_tracking_rmse,vyaw_tracking_rmse,yaw_stability
2026-07-08_17-03-26_mujoco,4999,full,vx=0.1,0.1,0.0,1.182732,0.182529,-0.017784,0.65274,0.049033,0.0,0.090342,2.766948,4.353534,0.0,19.077109,2.333333,0.017784,1.901065,0.189921,0.050884,0.662132,0.636149
2026-07-08_17-03-26_mujoco,4999,full,vx=0.2,0.2,0.0,1.213341,0.148669,-0.011089,0.661391,0.035577,0.0,0.08206,2.65499,4.127568,0.0,16.393455,4.0,0.011089,0.792621,0.164225,0.054684,0.695278,0.682893
2026-07-08_17-03-26_mujoco,4999,full,vx=0.3,0.3,0.0,1.173434,0.187738,-0.02614,0.655867,0.042161,0.0,0.089225,2.800213,4.221291,0.0,19.103681,6.333333,0.02614,0.657978,0.197417,0.053118,0.6085,0.599206
2026-07-08_17-03-26_mujoco,4999,full,vx=0.4,0.4,0.0,1.209195,0.19949,-0.012836,0.649121,0.051062,0.0,0.095497,2.752969,4.32373,0.0,20.160549,2.333333,0.012836,0.518959,0.269461,0.052875,0.723878,0.668148
2026-07-08_17-03-26_mujoco,4999,full,vx=0.5,0.5,0.0,1.196918,0.147313,-0.022381,0.666526,0.025948,0.0,0.079058,2.759498,4.065141,0.0,15.363788,5.666667,0.022381,0.314338,0.375728,0.045482,0.523451,0.523434
2026-07-08_17-03-26_mujoco,4999,full,vx=0.6,0.6,0.0,1.266448,0.137233,-0.014081,0.662408,0.033252,0.0,0.082723,2.592748,4.183898,0.0,15.813783,2.0,0.014081,0.246785,0.485574,0.047825,0.632475,0.622875
2026-07-08_17-03-26_mujoco,4999,full,vy=0.1,0.0,0.1,1.119959,0.205626,-0.012958,0.649847,0.049966,0.0,0.092254,2.844605,4.414097,0.0,20.810334,2.333333,0.205626,2.120403,0.262481,0.122255,0.704641,0.618563
2026-07-08_17-03-26_mujoco,4999,full,vy=0.2,0.0,0.2,1.14026,0.201502,-0.016364,0.650459,0.045915,0.0,0.092564,2.808873,4.155333,0.0,20.87881,7.0,0.201502,1.051629,0.262346,0.222625,0.6733,0.597098
2026-07-08_17-03-26_mujoco,4999,full,vy=0.3,0.0,0.3,1.222062,0.144539,-0.021387,0.66534,0.028131,0.0,0.077499,2.71021,4.080294,0.0,15.38208,6.0,0.144539,0.516959,0.197771,0.324025,0.548365,0.546692
2026-07-08_17-03-26_mujoco,4999,full,vyaw=0.5,0.0,0.0,1.228153,0.174716,-0.022649,0.65404,0.046423,0.0,0.092023,2.683336,4.37159,0.0,18.357232,0.666667,0.0,0.185442,0.243625,0.053543,0.814544,0.72891
2026-07-08_17-03-26_mujoco,4999,full,vyaw=1.0,0.0,0.0,1.211149,0.178622,-0.022531,0.649916,0.053141,0.0,0.095571,2.666382,4.481681,0.0,19.023666,1.333333,0.0,0.190653,0.252365,0.052964,1.174348,0.705859
2026-07-08_17-03-26_mujoco,4999,full,vx=-0.3,-0.3,0.0,1.156683,0.194595,-0.010167,0.648009,0.051403,0.0,0.089691,2.724512,4.314893,0.0,20.513331,3.0,0.010167,0.672175,0.525543,0.045471,0.67218,0.612142
2026-07-08_17-03-26_mujoco,4999,full,vx=-0.6,-0.6,0.0,1.159136,0.190101,-0.009809,0.646441,0.054314,0.0,0.096718,2.706583,4.433029,0.0,20.430753,2.0,0.009809,0.33088,0.8098,0.048793,0.78852,0.720493
2026-07-08_17-03-26_mujoco,4999,full,vx=0.3_vy=0.2,0.3,0.2,1.175311,0.178464,-0.011396,0.65157,0.049364,0.0,0.090677,2.649316,4.46253,0.0,18.953042,5.333333,0.0,0.528071,0.220068,0.219448,0.755766,0.715262
2026-07-08_17-03-26_mujoco,4999,full,vx=0.3_vyaw=0.5,0.3,0.0,0.989387,0.26574,-0.011958,0.628078,0.065416,0.0,0.111424,2.905063,4.571302,0.0,25.329812,2.666667,0.011958,0.906844,0.189482,0.057542,0.722541,0.7198
2026-07-08_17-03-26_mujoco,4999,full,vx=0.3_vy=0.2_vyaw=0.5,0.3,0.2,1.177017,0.162448,-0.017679,0.661218,0.034438,0.0,0.080559,2.762156,4.156948,0.0,17.334109,2.333333,0.0,0.474375,0.200766,0.222248,0.683776,0.569967
