run,checkpoint,suite,scenario,cmd_vx,cmd_vy,action_smoothness,avg_vx,avg_vy,base_height_mean,base_height_std,cost_of_transport,gait_symmetry,joint_velocity_mean,leg_workspace_utilization,mean_torque,orientation_rmse_deg,step_frequency,vel_coupling,vel_tracking_ratio,vx_tracking_rmse,vy_tracking_rmse,vyaw_tracking_rmse,yaw_stability
2026-07-08_23-41-11_mujoco,4999,full,vx=0.1,0.1,0.0,0.884823,-0.083543,-0.007743,0.623162,0.102961,0.0,0.097259,2.41538,3.072392,0.0,10.039862,3.666667,0.007743,0.982801,0.212734,0.022315,0.343485,0.242562
2026-07-08_23-41-11_mujoco,4999,full,vx=0.2,0.2,0.0,0.978806,-0.081751,-0.009901,0.632973,0.099995,0.0,0.0884,2.449609,3.058886,0.0,9.731343,3.666667,0.009901,0.483654,0.304514,0.025781,0.346281,0.299757
2026-07-08_23-41-11_mujoco,4999,full,vx=0.3,0.3,0.0,0.89362,-0.086567,-0.011037,0.618325,0.107668,0.0,0.090338,2.407122,3.124293,0.0,9.744452,3.666667,0.011037,0.338238,0.400859,0.027494,0.358288,0.331628
2026-07-08_23-41-11_mujoco,4999,full,vx=0.4,0.4,0.0,0.964099,-0.083607,-0.011797,0.626012,0.104474,0.0,0.086572,2.283695,2.968088,0.0,8.919142,3.333333,0.011797,0.241556,0.495097,0.025981,0.427113,0.393253
2026-07-08_23-41-11_mujoco,4999,full,vx=0.5,0.5,0.0,1.049122,-0.078302,-0.010684,0.634595,0.10061,0.0,0.085446,2.30351,2.99115,0.0,9.053286,3.333333,0.010684,0.182209,0.58818,0.025374,0.390812,0.362665
2026-07-08_23-41-11_mujoco,4999,full,vx=0.6,0.6,0.0,0.894158,-0.082362,-0.009969,0.621777,0.105404,0.0,0.096398,2.377751,2.94908,0.0,9.84942,3.666667,0.009969,0.16244,0.690334,0.024796,0.376862,0.310045
2026-07-08_23-41-11_mujoco,4999,full,vy=0.1,0.0,0.1,0.982681,-0.074291,-0.00993,0.634451,0.097833,0.0,0.090807,2.304507,2.901862,0.0,9.302181,3.333333,0.074291,0.883816,0.124804,0.111669,0.367155,0.315323
2026-07-08_23-41-11_mujoco,4999,full,vy=0.2,0.0,0.2,1.029973,-0.074339,-0.00861,0.63205,0.103082,0.0,0.091383,2.25474,3.146774,0.0,8.974136,3.666667,0.074339,0.435278,0.123656,0.209516,0.394485,0.340348
2026-07-08_23-41-11_mujoco,4999,full,vy=0.3,0.0,0.3,1.054212,-0.069975,-0.009346,0.64247,0.091873,0.0,0.088358,2.276712,2.91471,0.0,9.291165,3.333333,0.069975,0.279993,0.12391,0.309873,0.402152,0.350189
2026-07-08_23-41-11_mujoco,4999,full,vyaw=0.5,0.0,0.0,1.022623,-0.073279,-0.009557,0.635683,0.099548,0.0,0.08696,2.304717,3.039223,0.0,9.356478,3.666667,0.0,0.087614,0.125938,0.024655,0.469046,0.348333
2026-07-08_23-41-11_mujoco,4999,full,vyaw=1.0,0.0,0.0,1.06537,-0.07431,-0.01008,0.632756,0.10453,0.0,0.087376,2.233549,3.112213,0.0,8.744728,3.333333,0.0,0.086841,0.124944,0.021634,0.880322,0.422859
2026-07-08_23-41-11_mujoco,4999,full,vx=-0.3,-0.3,0.0,1.015333,-0.081101,-0.010339,0.625247,0.111147,0.0,0.088197,2.297875,3.078886,0.0,8.89528,3.333333,0.010339,0.312384,0.243671,0.023698,0.424206,0.389627
2026-07-08_23-41-11_mujoco,4999,full,vx=-0.6,-0.6,0.0,1.005852,-0.076138,-0.009217,0.629448,0.103611,0.0,0.093338,2.27771,3.033323,0.0,9.144926,4.0,0.009217,0.149351,0.533082,0.021693,0.427963,0.369589
2026-07-08_23-41-11_mujoco,4999,full,vx=0.3_vy=0.2,0.3,0.2,1.014489,-0.078588,-0.010887,0.629775,0.102347,0.0,0.09099,2.286714,3.073149,0.0,9.06646,4.0,0.0,0.255629,0.392144,0.21209,0.39139,0.345681
2026-07-08_23-41-11_mujoco,4999,full,vx=0.3_vyaw=0.5,0.3,0.0,1.002095,-0.077005,-0.010019,0.633885,0.09894,0.0,0.088686,2.317697,3.034441,0.0,9.275537,3.333333,0.010019,0.302259,0.391218,0.023159,0.474924,0.336496
2026-07-08_23-41-11_mujoco,4999,full,vx=0.3_vy=0.2_vyaw=0.5,0.3,0.2,1.040349,-0.073672,-0.008906,0.631931,0.102075,0.0,0.095123,2.272239,3.109541,0.0,9.231356,4.0,0.0,0.241049,0.386041,0.209758,0.437816,0.325852
