run,checkpoint,suite,scenario,cmd_vx,cmd_vy,action_smoothness,avg_vx,avg_vy,base_height_mean,base_height_std,cost_of_transport,gait_symmetry,joint_velocity_mean,leg_workspace_utilization,mean_torque,orientation_rmse_deg,step_frequency,vel_coupling,vel_tracking_ratio,vx_tracking_rmse,vy_tracking_rmse,vyaw_tracking_rmse,yaw_stability
2026-07-01_13-55-35_mujoco,16200,decoupling,fwd_vx=0.6,0.6,0.0,0.045832,0.386531,-0.031342,0.534826,0.019889,0.0,0.072198,0.200292,1.067667,0.0,4.209871,0.8,0.031342,0.647622,0.225679,0.03953,0.024556,0.019879
2026-07-01_13-55-35_mujoco,16200,decoupling,fwd_vx=0.3,0.3,0.0,0.037643,0.334822,0.012119,0.536259,0.011861,0.0,0.039093,0.139593,0.661175,0.0,3.217982,1.0,0.012119,1.117461,0.044269,0.016873,0.021862,0.015622
2026-07-01_13-55-35_mujoco,16200,decoupling,fwd_vx=-0.3,-0.3,0.0,0.018186,-0.052563,-0.006726,0.506803,0.003652,0.0,0.073713,0.024038,0.272404,0.0,2.149632,0.2,0.006726,0.176963,0.248414,0.007976,0.015137,0.011188
2026-07-01_13-55-35_mujoco,16200,decoupling,lat_vy=+0.3,0.0,0.3,0.020103,0.143016,0.01719,0.522508,0.00206,0.0,0.035094,0.017548,0.184433,0.0,2.748117,0.2,0.143016,0.480825,0.144095,0.282875,0.038325,0.00377
2026-07-01_13-55-35_mujoco,16200,decoupling,lat_vy=-0.3,0.0,-0.3,0.023344,0.178942,-0.016474,0.5328,0.000738,0.0,0.074553,0.017465,0.237073,0.0,4.443932,0.4,0.178942,0.599389,0.181232,0.283544,0.011499,0.005273
2026-07-01_13-55-35_mujoco,16200,decoupling,fwd+lat,0.3,0.2,0.03448,0.320899,0.002009,0.532057,0.011203,0.0,0.067045,0.124852,0.681266,0.0,4.489041,1.0,0.0,0.890657,0.035699,0.19836,0.01533,0.012088
