run,checkpoint,suite,scenario,cmd_vx,cmd_vy,action_smoothness,avg_vx,avg_vy,base_height_mean,base_height_std,cost_of_transport,gait_symmetry,joint_velocity_mean,leg_workspace_utilization,mean_torque,orientation_rmse_deg,step_frequency,vel_coupling,vel_tracking_ratio,vx_tracking_rmse,vy_tracking_rmse,vyaw_tracking_rmse,yaw_stability
2026-07-05_00-02-34_mujoco,4999,full,vx=0.1,0.1,0.0,0.599171,0.015826,-0.096849,0.042374,0.071852,0.0,0.099981,0.84536,2.645735,0.0,14.492789,0.666667,0.096849,2.416004,0.158866,0.277321,1.242917,0.936389
2026-07-05_00-02-34_mujoco,4999,full,vx=0.2,0.2,0.0,0.805713,0.063156,-0.151198,0.076429,0.065546,0.0,0.096497,1.050512,2.655633,0.0,14.752631,0.333333,0.151198,1.251274,0.215568,0.280025,1.139174,1.048813
2026-07-05_00-02-34_mujoco,4999,full,vx=0.3,0.3,0.0,0.410167,0.028326,-0.073238,0.030877,0.060275,0.0,0.087959,0.650984,2.350071,0.0,13.197329,0.333333,0.073238,0.663785,0.299364,0.193266,1.073682,0.608524
2026-07-05_00-02-34_mujoco,4999,full,vx=0.4,0.4,0.0,0.535104,0.103791,-0.150886,0.044616,0.059533,0.0,0.067016,0.776385,2.211384,0.0,13.664168,1.0,0.150886,0.508707,0.311751,0.201782,0.970258,0.644615
2026-07-05_00-02-34_mujoco,4999,full,vx=0.5,0.5,0.0,0.484186,-0.038008,-0.028377,0.023255,0.064286,0.0,0.084085,0.626266,2.246701,0.0,12.595538,0.333333,0.028377,0.312293,0.546355,0.157844,0.924178,0.5525
2026-07-05_00-02-34_mujoco,4999,full,vx=0.6,0.6,0.0,0.721283,0.099683,-0.151479,0.070934,0.065186,0.0,0.073467,0.984249,2.479355,0.0,12.875703,1.0,0.151479,0.374731,0.515817,0.249086,0.989522,0.885814
2026-07-05_00-02-34_mujoco,4999,full,vy=0.1,0.0,0.1,0.326253,-0.016356,-0.016525,0.017158,0.064696,0.0,0.108815,0.554814,2.555643,0.0,15.943326,0.333333,0.016356,2.703314,0.175596,0.279451,1.279945,0.589585
2026-07-05_00-02-34_mujoco,4999,full,vy=0.2,0.0,0.2,0.480182,0.124515,-0.271677,0.059083,0.053883,0.0,0.077439,0.714985,2.572757,0.0,14.07952,1.0,0.124515,1.649066,0.183567,0.562,1.054089,0.661029
2026-07-05_00-02-34_mujoco,4999,full,vy=0.3,0.0,0.3,0.528875,0.048248,-0.113634,0.043587,0.067679,0.0,0.091114,0.813427,2.498178,0.0,14.245943,0.666667,0.048248,0.87423,0.164999,0.481834,1.186858,0.795243
2026-07-05_00-02-34_mujoco,4999,full,vyaw=0.5,0.0,0.0,0.406341,0.033538,-0.148633,0.015745,0.062087,0.0,0.117909,0.609567,2.76324,0.0,14.678195,0.333333,0.0,0.314609,0.178903,0.327571,1.753,0.681832
2026-07-05_00-02-34_mujoco,4999,full,vyaw=1.0,0.0,0.0,0.451122,0.066192,-0.12669,0.038576,0.057638,0.0,0.085237,0.6787,2.582649,0.0,16.079956,0.666667,0.0,0.26054,0.174436,0.250425,2.110401,0.713895
2026-07-05_00-02-34_mujoco,4999,full,vx=-0.3,-0.3,0.0,0.599007,0.07222,-0.119771,0.041747,0.059411,0.0,0.065628,0.794793,2.159421,0.0,13.388419,1.0,0.119771,0.623723,0.393742,0.173787,0.927323,0.724732
2026-07-05_00-02-34_mujoco,4999,full,vx=-0.6,-0.6,0.0,0.462045,-0.00327,-0.118758,0.028739,0.056071,0.0,0.087604,0.629353,2.545842,0.0,16.594793,0.333333,0.118758,0.418922,0.61864,0.251864,1.203998,0.702276
2026-07-05_00-02-34_mujoco,4999,full,vx=0.3_vy=0.2,0.3,0.2,0.602946,0.042585,-0.132348,0.063934,0.06289,0.0,0.068733,0.858002,2.567851,0.0,13.668846,0.333333,0.0,0.547842,0.293376,0.377602,0.899083,0.708016
2026-07-05_00-02-34_mujoco,4999,full,vx=0.3_vyaw=0.5,0.3,0.0,0.643956,-0.017989,-0.0401,0.019928,0.064121,0.0,0.068556,0.778769,2.30076,0.0,8.637572,4.0,0.0401,0.5443,0.346716,0.178206,1.172099,0.53355
2026-07-05_00-02-34_mujoco,4999,full,vx=0.3_vy=0.2_vyaw=0.5,0.3,0.2,0.366078,-0.033078,0.001667,0.010387,0.064381,0.0,0.088549,0.523342,2.247387,0.0,11.186555,0.666667,0.0,0.387544,0.344061,0.245296,1.414155,0.586422
