run,checkpoint,suite,scenario,cmd_vx,cmd_vy,action_smoothness,avg_vx,avg_vy,base_height_mean,base_height_std,cost_of_transport,gait_symmetry,joint_velocity_mean,leg_workspace_utilization,mean_torque,orientation_rmse_deg,step_frequency,vel_coupling,vel_tracking_ratio,vx_tracking_rmse,vy_tracking_rmse,vyaw_tracking_rmse,yaw_stability
2026-07-06_18-02-58_mujoco,19999,full,vx=0.1,0.1,0.0,0.848608,0.037846,-0.037414,0.301615,0.062842,0.0,0.102689,1.324218,2.421102,0.0,6.268337,0.333333,0.037414,0.954843,0.094783,0.082104,0.844248,0.841157
2026-07-06_18-02-58_mujoco,19999,full,vx=0.2,0.2,0.0,0.611366,-0.0495,-0.0642,0.230855,0.081115,0.0,0.124481,0.91543,2.618742,0.0,8.425481,1.0,0.0642,0.953778,0.313095,0.148749,0.998534,0.705712
2026-07-06_18-02-58_mujoco,19999,full,vx=0.3,0.3,0.0,0.662657,0.013979,-0.11222,0.242877,0.069796,0.0,0.131432,0.993374,2.471138,0.0,9.285615,1.0,0.11222,0.513853,0.300533,0.14899,0.981916,0.484422
2026-07-06_18-02-58_mujoco,19999,full,vx=0.4,0.4,0.0,0.687477,-0.052246,-0.015661,0.237388,0.088606,0.0,0.119658,0.985497,2.561152,0.0,8.779888,0.333333,0.015661,0.448463,0.496722,0.124366,0.905358,0.632823
2026-07-06_18-02-58_mujoco,19999,full,vx=0.5,0.5,0.0,0.696348,0.029922,-0.08236,0.25004,0.072476,0.0,0.118712,0.958267,2.412822,0.0,8.101626,1.0,0.08236,0.257672,0.476225,0.129487,0.901269,0.76
2026-07-06_18-02-58_mujoco,19999,full,vx=0.6,0.6,0.0,0.658214,-0.016252,-0.137165,0.234186,0.071322,0.0,0.140082,0.961572,2.734947,0.0,8.956979,1.0,0.137165,0.378795,0.641729,0.22247,0.948876,0.580424
2026-07-06_18-02-58_mujoco,19999,full,vy=0.1,0.0,0.1,0.73758,-0.028202,0.008597,0.26407,0.083206,0.0,0.105494,1.05912,2.421354,0.0,7.76669,0.666667,0.028202,1.499919,0.207802,0.129216,0.774563,0.760727
2026-07-06_18-02-58_mujoco,19999,full,vy=0.2,0.0,0.2,0.720765,-0.018372,-0.03153,0.249272,0.088129,0.0,0.100028,0.978047,2.498692,0.0,7.010931,0.333333,0.018372,0.786047,0.189924,0.253006,0.767106,0.690209
2026-07-06_18-02-58_mujoco,19999,full,vy=0.3,0.0,0.3,0.841871,0.032448,-0.087118,0.272712,0.070279,0.0,0.121127,1.158022,2.445736,0.0,7.439298,0.666667,0.032448,0.409145,0.06906,0.399527,0.897248,0.792029
2026-07-06_18-02-58_mujoco,19999,full,vyaw=0.5,0.0,0.0,0.62582,-0.025673,-0.137136,0.221947,0.074736,0.0,0.142153,0.935649,2.957899,0.0,8.736261,0.333333,0.0,0.272128,0.209817,0.281531,1.514911,0.594428
2026-07-06_18-02-58_mujoco,19999,full,vyaw=1.0,0.0,0.0,0.634736,-0.04972,-0.018325,0.234084,0.080682,0.0,0.118888,0.876008,2.518773,0.0,9.505015,1.0,0.0,0.178582,0.216709,0.137946,1.737149,0.562961
2026-07-06_18-02-58_mujoco,19999,full,vx=-0.3,-0.3,0.0,0.747315,-0.030996,-0.060894,0.245888,0.082679,0.0,0.123452,1.038746,2.764781,0.0,8.411979,0.333333,0.060894,0.609196,0.332843,0.140948,0.914543,0.733205
2026-07-06_18-02-58_mujoco,19999,full,vx=-0.6,-0.6,0.0,0.917193,0.04547,-0.082716,0.30417,0.061385,0.0,0.111716,1.305431,2.564232,0.0,5.947871,0.333333,0.082716,0.195876,0.647217,0.135184,0.947598,0.909398
2026-07-06_18-02-58_mujoco,19999,full,vx=0.3_vy=0.2,0.3,0.2,0.6951,-0.022735,-0.038703,0.251366,0.082173,0.0,0.106609,0.950823,2.574919,0.0,8.547957,0.666667,0.0,0.482744,0.383065,0.271947,0.759889,0.608412
2026-07-06_18-02-58_mujoco,19999,full,vx=0.3_vyaw=0.5,0.3,0.0,0.589471,-0.155162,0.012444,0.198925,0.079401,0.0,0.143986,0.840495,2.710294,0.0,10.3252,0.666667,0.012444,0.978808,0.547031,0.195906,1.51025,0.58038
2026-07-06_18-02-58_mujoco,19999,full,vx=0.3_vy=0.2_vyaw=0.5,0.3,0.2,0.625826,-0.04316,-0.047087,0.227452,0.076495,0.0,0.13443,0.911003,2.565696,0.0,9.816031,0.666667,0.0,0.509607,0.394556,0.284803,1.42346,0.682452
